"baseMean" "log2FoldChange" "lfcSE" "stat" "pvalue" "padj"
"171586" 2541.39113524785 -0.245262756329909 0.10106424890423 -2.4268003669856 0.0152326351778754 0.0503580740858752
"63874" 483.564127319471 -0.338149519748854 0.119103762017544 -2.83911703560668 0.00452385611862893 0.0196804805160806
"51099" 4539.89264394156 -0.668525814133467 0.127761733251664 -5.23259818976164 1.67143813269677e-07 4.85527830710612e-06
"57406" 230.906659470692 0.0356280827796908 0.0789000944568377 0.451559443939337 0.65158639230479 0.758689809167333
"79575" 159.258886968559 -0.0814525547579789 0.0653362925673199 -1.24666630990813 0.212519876827526 0.348235580109933
"10006" 5311.69710194295 -0.256597217548997 0.0764591400753683 -3.35600449202098 0.000790772843496075 0.00486269082671165
"10152" 374.388121998124 -0.111597652464069 0.0938701481600973 -1.18885135105718 0.234498166766766 0.373900302770973
"51225" 257.154324371902 0.197394884797199 0.134850069365671 1.46381003529131 0.143245859725587 0.26319778568886
"25" 193.873800951819 -0.263917040126103 0.149033673341008 -1.77085509743981 0.0765848009072249 0.167899936655237
"27" 641.316588290534 -0.227911454294158 0.112843697352196 -2.01970920522769 0.0434135597095961 0.111121013427324
"3983" 3303.2288657124 0.0760715479845783 0.131250891007409 0.579588811936403 0.562191939593478 0.689021449895344
"84448" 21.1057697030645 0.404828659484555 0.184903643155878 2.18940337018279 0.0285675349241109 0.0811672479504391
"22885" 181.87194296406 -0.478188543339205 0.24401401039995 -1.95967658805915 0.050033603277566 0.123087881660879
"29" 74.1734285470383 -0.150787558764798 0.143554058257694 -1.05038868698591 0.293539444825112 0.439209029014702
"58527" 861.391502762992 0.12794348568842 0.0832736447550766 1.53642231062091 0.124434838337312 0.238338102215764
"29777" 952.563491393032 0.117147619985315 0.0613476034389544 1.90957125329086 0.0561884393506849 0.133524725380062
"80325" 4859.04957565253 -0.613755450162383 0.171876739749622 -3.57090465560645 0.000355750385842571 0.00259196701336866
"25841" 60.9049099324963 -0.891329866457661 0.240840088073847 -3.70091986590022 0.000214819313673397 0.00173386584740031
"30" 1875.55658767756 -0.304619967799062 0.148722231578002 -2.04824769348148 0.040535735366566 0.105524393856785
"10449" 573.019176622456 0.214129681519988 0.0729012822473072 2.93725535297971 0.00331131323614427 0.0151906738617461
"31" 12.1869312345674 0.257059769545808 0.177479103690028 1.44839456702897 0.147506733375438 0.268806160891336
"32" 201.712821719549 -0.00564038079455503 0.151112836885989 -0.0373256230958762 0.970225375448369 0.982402880648443
"80724" 368.232847636519 0.00655720853224043 0.0821666609734213 0.0798037604857949 0.936393333430852 0.961020644751063
"84129" 36.6907983892388 0.0390304001764504 0.123166370600568 0.316891696866081 0.751325782536482 0.834386853860354
"27034" 523.256006713933 -0.0595613950398826 0.0465608330764205 -1.27921669576067 0.200820758106335 0.33538337484883
"28976" 540.908023471652 0.169538348795848 0.0860011947580191 1.97134876175705 0.0486839974693805 0.120856160809671
"34" 973.735429030002 0.160696285821891 0.0673812222606728 2.38488232226208 0.0170845853818345 0.0550397257180145
"35" 409.820862787827 0.604572331003607 0.162367642301416 3.72347791982649 0.000196497053287719 0.00161380137037532
"36" 411.220378817603 0.106550043549658 0.0771257193629518 1.38151117979511 0.167121842750249 0.293490535937443
"37" 3243.08489121744 0.111295743083496 0.0835642437902236 1.33185843652087 0.182906711160083 0.312941049555867
