"YLR044C"	"YHR174W"	"YPR035W"
"419_Glutamine"	13	14	0
"420_Glutamine"	37	34	5
"421_Glutamine"	40	24	0
"422_Glutamine"	56	38	1
"423_Glutamine"	35	23	0
"424_Glutamine"	8	5	3
"425_Glutamine"	6	5	1
"426_Glutamine"	138	91	9
"427_Glutamine"	110	78	0
"428_Glutamine"	65	20	0
"429_Glutamine"	58	35	0
"430_Glutamine"	59	8	3
"431_Glutamine"	12	6	2
"432_Glutamine"	15	4	1
"433_Glutamine"	4	10	0
"434_Glutamine"	91	103	2
"435_Glutamine"	83	26	5
"436_Glutamine"	7	3	2
"437_Glutamine"	19	12	0
"438_Glutamine"	32	38	0
"439_Glutamine"	68	32	3
"440_Glutamine"	113	56	0
"441_Glutamine"	6	4	0
"442_Glutamine"	77	36	4
"443_Glutamine"	28	17	0
"444_Glutamine"	85	124	7
"445_Glutamine"	108	99	5
"446_Glutamine"	26	25	1
"447_Glutamine"	16	7	1
"448_Glutamine"	21	21	3
"449_Glutamine"	15	15	1
"450_Glutamine"	210	178	22
"451_Glutamine"	95	103	9
"452_Glutamine"	47	44	3
"453_Glutamine"	59	29	1
"454_Glutamine"	27	24	5
"455_Glutamine"	10	4	1
"456_Glutamine"	91	74	2
"457_Glutamine"	38	39	5
"458_Glutamine"	17	16	1
"459_Glutamine"	35	26	9
"460_Glutamine"	73	104	2
"461_Glutamine"	67	28	2
"462_Glutamine"	49	54	4
"463_Glutamine"	48	15	0
"464_Glutamine"	23	45	5
"465_Glutamine"	25	22	1
"466_Glutamine"	40	35	4
"467_Glutamine"	90	80	9
"468_Glutamine"	95	69	5
"469_Glutamine"	11	16	1
"470_Glutamine"	76	40	0
"471_Glutamine"	14	29	4
"472_Glutamine"	19	7	3
"473_Glutamine"	117	97	6
"474_Glutamine"	9	4	1
"475_Glutamine"	28	16	0
"476_Glutamine"	22	15	6
"477_Glutamine"	41	18	1
"478_Glutamine"	26	4	1
"479_Glutamine"	14	4	0
"480_Glutamine"	391	267	10
"481_Glutamine"	17	9	1
"482_Glutamine"	76	46	1
"483_Glutamine"	27	18	1
"484_Glutamine"	41	42	3
"485_Glutamine"	64	39	0
"486_Glutamine"	6	3	0
"487_Glutamine"	18	20	4
"488_Glutamine"	49	60	12
"489_Glutamine"	106	75	2
"490_Glutamine"	27	35	0
"491_Glutamine"	29	38	3
"492_Glutamine"	29	11	2
"493_Glutamine"	65	31	6
"494_Glutamine"	117	85	13
"495_Glutamine"	13	15	2
"496_Glutamine"	47	43	1
"497_Glutamine"	2	2	1
"498_Glutamine"	80	78	5
"499_Glutamine"	79	49	8
"500_Glutamine"	17	9	2
"501_Glutamine"	55	23	0
"502_Glutamine"	73	49	1
"503_Glutamine"	35	25	3
"504_Glutamine"	23	21	2
"505_Glutamine"	18	16	3
"506_Glutamine"	7	4	0
"507_Glutamine"	20	21	0
"508_Glutamine"	50	45	3
"509_Glutamine"	40	34	0
"510_Glutamine"	17	23	1
"511_Glutamine"	31	23	5
"512_Glutamine"	6	7	0
"513_Glutamine"	51	41	1
"514_Glutamine"	10	8	1
"515_Glutamine"	37	25	2
"516_Glutamine"	60	57	8
"517_Glutamine"	31	23	5
"518_Glutamine"	114	122	12
"519_Glutamine"	10	4	0
"520_Glutamine"	6	2	0
"521_Glutamine"	6	0	2
"522_Glutamine"	7	11	0
"523_Glutamine"	14	16	1
"524_Glutamine"	5	6	0
"525_Glutamine"	30	16	2
"526_Glutamine"	60	43	1
"527_Glutamine"	30	35	5
"528_Glutamine"	154	62	3
"529_Glutamine"	27	9	1
"530_Glutamine"	42	13	1
"531_Glutamine"	21	39	1
"532_Glutamine"	28	23	3
"533_Glutamine"	17	16	4
"534_Glutamine"	40	24	2
"535_Glutamine"	23	13	3
"536_Glutamine"	59	45	7
"537_Glutamine"	9	10	0
"538_Glutamine"	52	57	3
"539_Glutamine"	59	13	0
"540_Glutamine"	38	22	2
"541_Glutamine"	15	6	1
"542_Glutamine"	100	91	5
"543_Glutamine"	78	45	4
"544_Glutamine"	5	2	1
"545_Glutamine"	88	75	3
"546_Glutamine"	21	12	0
"547_Glutamine"	36	30	6
"548_Glutamine"	4	8	0
"549_Glutamine"	18	16	2
"550_Glutamine"	200	164	20
"551_Glutamine"	44	36	3
"552_Glutamine"	3	4	0
"553_Glutamine"	7	5	2
"554_Glutamine"	19	10	1
"555_Glutamine"	32	16	3
"556_Glutamine"	63	67	12
"557_Glutamine"	30	38	1
"558_Glutamine"	101	21	1
"559_Glutamine"	52	53	8
"560_Glutamine"	62	38	3
"561_Glutamine"	114	119	5
"562_Glutamine"	14	6	1
"563_Glutamine"	56	11	0
"564_Glutamine"	34	34	0
"565_Glutamine"	74	64	2
"566_Glutamine"	15	16	2
"567_Glutamine"	59	24	0
"568_Glutamine"	25	30	0
"569_Glutamine"	35	28	0
"570_Glutamine"	11	7	0
"571_Glutamine"	17	24	2
"572_Glutamine"	23	16	2
"573_Glutamine"	62	67	4
"574_Glutamine"	8	11	1
"575_Glutamine"	186	148	1
"576_Glutamine"	27	27	0
"577_Glutamine"	30	20	3
"578_Glutamine"	126	132	5
"579_Glutamine"	24	15	2
"580_Glutamine"	140	92	3
"581_Glutamine"	8	14	0
"582_Glutamine"	21	15	0
"583_Glutamine"	29	14	1
"584_Glutamine"	70	23	4
"585_Glutamine"	75	73	5
"586_Glutamine"	15	16	6
"587_Glutamine"	17	21	0
"588_Glutamine"	30	19	2
