Fabp7	Sox11	Cd24a
32.0	1.0	0.0
67.0	1.0	0.0
53.0	1.0	2.0
1.0	1.0	0.0
25.0	0.0	1.0
1.0	0.0	0.0
3.0	26.0	11.0
12.0	1.0	0.0
142.0	1.0	1.0
10.0	2.0	0.0
17.0	1.0	2.0
32.0	1.0	0.0
177.0	1.0	0.0
0.0	13.0	21.0
102.0	5.0	8.0
108.0	0.0	1.0
21.0	2.0	1.0
1.0	9.0	12.0
148.0	14.0	6.0
59.0	4.0	0.0
60.0	4.0	1.0
111.0	3.0	1.0
4.0	21.0	7.0
5.0	32.0	6.0
119.0	2.0	3.0
56.0	3.0	3.0
135.0	0.0	0.0
277.0	1.0	0.0
1.0	47.0	24.0
128.0	2.0	0.0
5.0	0.0	1.0
370.0	2.0	0.0
0.0	5.0	5.0
259.0	3.0	0.0
221.0	0.0	1.0
70.0	3.0	0.0
77.0	1.0	0.0
392.0	1.0	0.0
138.0	0.0	0.0
52.0	3.0	3.0
34.0	0.0	0.0
95.0	1.0	0.0
158.0	1.0	4.0
24.0	1.0	1.0
180.0	0.0	0.0
0.0	10.0	7.0
125.0	8.0	9.0
1.0	16.0	12.0
221.0	2.0	0.0
2.0	36.0	9.0
38.0	2.0	2.0
10.0	9.0	2.0
112.0	0.0	0.0
4.0	7.0	1.0
14.0	2.0	0.0
4.0	3.0	0.0
62.0	1.0	0.0
387.0	20.0	7.0
2.0	1.0	1.0
16.0	3.0	2.0
184.0	1.0	5.0
368.0	6.0	0.0
106.0	3.0	2.0
457.0	12.0	3.0
0.0	1.0	2.0
43.0	11.0	5.0
359.0	4.0	0.0
6.0	5.0	4.0
186.0	0.0	1.0
177.0	26.0	7.0
0.0	18.0	5.0
58.0	0.0	0.0
21.0	44.0	13.0
148.0	1.0	0.0
261.0	16.0	14.0
57.0	7.0	4.0
48.0	0.0	2.0
281.0	1.0	1.0
1.0	1.0	1.0
4.0	2.0	1.0
52.0	1.0	0.0
274.0	0.0	1.0
1.0	45.0	40.0
3.0	0.0	0.0
377.0	2.0	1.0
25.0	3.0	3.0
7.0	2.0	1.0
45.0	3.0	1.0
0.0	4.0	1.0
81.0	0.0	0.0
12.0	0.0	1.0
352.0	1.0	0.0
5.0	5.0	1.0
88.0	11.0	5.0
43.0	28.0	20.0
56.0	0.0	1.0
81.0	21.0	3.0
18.0	1.0	0.0
14.0	4.0	1.0
52.0	2.0	0.0
201.0	1.0	0.0
102.0	0.0	4.0
135.0	1.0	1.0
57.0	0.0	1.0
37.0	1.0	0.0
48.0	1.0	1.0
154.0	0.0	2.0
120.0	7.0	0.0
97.0	0.0	0.0
5.0	3.0	1.0
105.0	3.0	0.0
18.0	2.0	1.0
8.0	28.0	9.0
15.0	0.0	0.0
31.0	0.0	0.0
59.0	1.0	0.0
0.0	17.0	5.0
1.0	0.0	8.0
100.0	2.0	0.0
13.0	4.0	2.0
50.0	12.0	5.0
60.0	0.0	0.0
7.0	11.0	1.0
2.0	15.0	4.0
245.0	0.0	0.0
66.0	0.0	1.0
96.0	16.0	7.0
180.0	2.0	1.0
16.0	1.0	1.0
28.0	1.0	0.0
42.0	2.0	5.0
172.0	4.0	4.0
66.0	4.0	0.0
0.0	2.0	0.0
1.0	20.0	1.0
4.0	6.0	2.0
261.0	0.0	0.0
43.0	1.0	1.0
84.0	0.0	0.0
45.0	1.0	0.0
12.0	2.0	2.0
106.0	1.0	0.0
144.0	1.0	1.0
117.0	2.0	0.0
11.0	2.0	3.0
53.0	2.0	4.0
11.0	0.0	2.0
2.0	16.0	3.0
139.0	3.0	0.0
22.0	2.0	0.0
0.0	41.0	15.0
45.0	4.0	1.0
29.0	2.0	5.0
23.0	1.0	0.0
31.0	3.0	1.0
252.0	0.0	0.0
28.0	4.0	3.0
56.0	1.0	0.0
142.0	0.0	0.0
14.0	7.0	4.0
222.0	1.0	1.0
125.0	2.0	1.0
8.0	3.0	1.0
140.0	5.0	2.0
330.0	3.0	5.0
49.0	2.0	3.0
1.0	16.0	6.0
6.0	2.0	1.0
95.0	2.0	1.0
2.0	14.0	6.0
10.0	0.0	0.0
117.0	1.0	1.0
26.0	1.0	0.0
0.0	6.0	3.0
171.0	5.0	2.0
128.0	14.0	6.0
38.0	0.0	0.0
121.0	1.0	2.0
3.0	65.0	22.0
185.0	4.0	3.0
1.0	46.0	20.0
59.0	5.0	0.0
118.0	19.0	10.0
182.0	4.0	3.0
94.0	2.0	1.0
51.0	1.0	0.0
337.0	3.0	0.0
191.0	0.0	0.0
15.0	2.0	5.0
1.0	12.0	7.0
167.0	3.0	2.0
33.0	2.0	5.0
0.0	8.0	11.0
95.0	11.0	2.0
2.0	2.0	0.0
0.0	11.0	5.0
245.0	2.0	2.0
163.0	2.0	1.0
30.0	3.0	1.0
109.0	0.0	6.0
50.0	0.0	0.0
0.0	4.0	3.0
331.0	0.0	1.0
192.0	12.0	3.0
90.0	1.0	0.0
90.0	2.0	0.0
28.0	3.0	1.0
23.0	0.0	1.0
3.0	5.0	1.0
0.0	11.0	7.0
74.0	1.0	1.0
152.0	0.0	0.0
0.0	1.0	0.0
85.0	24.0	7.0
27.0	2.0	4.0
179.0	3.0	0.0
131.0	0.0	2.0
183.0	0.0	0.0
6.0	3.0	0.0
151.0	0.0	1.0
61.0	11.0	6.0
36.0	1.0	1.0
2.0	10.0	9.0
1.0	3.0	0.0
3.0	17.0	8.0
61.0	0.0	0.0
177.0	0.0	3.0
70.0	1.0	1.0
4.0	6.0	3.0
33.0	3.0	6.0
38.0	3.0	1.0
47.0	50.0	12.0
267.0	5.0	0.0
39.0	0.0	0.0
1.0	22.0	14.0
14.0	3.0	1.0
0.0	1.0	3.0
99.0	3.0	0.0
67.0	1.0	0.0
9.0	6.0	0.0
297.0	1.0	0.0
89.0	0.0	1.0
238.0	0.0	0.0
12.0	14.0	4.0
0.0	4.0	5.0
30.0	1.0	1.0
28.0	4.0	3.0
26.0	1.0	2.0
67.0	0.0	2.0
405.0	2.0	0.0
212.0	3.0	7.0
133.0	1.0	3.0
27.0	5.0	3.0
136.0	4.0	0.0
195.0	4.0	0.0
175.0	4.0	0.0
0.0	38.0	12.0
28.0	3.0	1.0
9.0	6.0	1.0
81.0	4.0	2.0
179.0	0.0	0.0
106.0	0.0	0.0
19.0	6.0	2.0
85.0	0.0	3.0
3.0	14.0	7.0
89.0	1.0	0.0
155.0	2.0	0.0
94.0	4.0	7.0
45.0	2.0	0.0
8.0	20.0	5.0
0.0	8.0	3.0
8.0	1.0	1.0
51.0	8.0	3.0
187.0	2.0	0.0
49.0	0.0	5.0
366.0	1.0	1.0
66.0	0.0	0.0
127.0	0.0	0.0
65.0	0.0	0.0
221.0	2.0	0.0
0.0	13.0	10.0
154.0	0.0	0.0
34.0	0.0	0.0
0.0	5.0	3.0
55.0	1.0	2.0
1.0	2.0	3.0
4.0	4.0	3.0
175.0	0.0	0.0
350.0	1.0	0.0
205.0	0.0	0.0
12.0	8.0	8.0
143.0	22.0	13.0
142.0	1.0	2.0
3.0	2.0	1.0
239.0	4.0	1.0
150.0	2.0	6.0
19.0	7.0	2.0
11.0	3.0	1.0
0.0	26.0	12.0
23.0	0.0	0.0
0.0	0.0	0.0
17.0	2.0	0.0
10.0	5.0	2.0
174.0	1.0	1.0
112.0	1.0	0.0
227.0	0.0	0.0
118.0	16.0	14.0
486.0	0.0	0.0
124.0	0.0	2.0
118.0	0.0	0.0
47.0	0.0	0.0
8.0	41.0	10.0
54.0	22.0	25.0
165.0	1.0	0.0
10.0	2.0	0.0
260.0	30.0	12.0
157.0	7.0	5.0
27.0	7.0	2.0
31.0	22.0	12.0
457.0	5.0	3.0
47.0	0.0	1.0
22.0	3.0	2.0
1.0	1.0	2.0
131.0	0.0	1.0
405.0	1.0	0.0
74.0	4.0	5.0
67.0	0.0	0.0
206.0	1.0	2.0
92.0	3.0	3.0
267.0	7.0	1.0
136.0	19.0	10.0
104.0	3.0	0.0
21.0	14.0	3.0
270.0	2.0	0.0
6.0	11.0	0.0
13.0	3.0	3.0
161.0	4.0	4.0
54.0	0.0	0.0
58.0	1.0	1.0
62.0	1.0	1.0
93.0	1.0	1.0
131.0	4.0	4.0
205.0	0.0	1.0
101.0	2.0	0.0
65.0	3.0	2.0
3.0	4.0	1.0
93.0	2.0	2.0
33.0	5.0	1.0
245.0	2.0	2.0
21.0	0.0	0.0
43.0	2.0	2.0
37.0	1.0	5.0
11.0	9.0	2.0
274.0	2.0	0.0
1.0	1.0	1.0
75.0	0.0	0.0
55.0	2.0	0.0
0.0	4.0	1.0
284.0	6.0	7.0
357.0	1.0	1.0
84.0	2.0	0.0
22.0	1.0	3.0
127.0	14.0	9.0
5.0	47.0	19.0
4.0	42.0	17.0
157.0	7.0	0.0
10.0	4.0	1.0
32.0	6.0	1.0
15.0	6.0	4.0
66.0	8.0	5.0
30.0	6.0	4.0
105.0	2.0	2.0
31.0	2.0	2.0
48.0	4.0	1.0
21.0	0.0	1.0
178.0	0.0	2.0
1008.0	6.0	3.0
227.0	3.0	2.0
355.0	1.0	2.0
89.0	0.0	0.0
1.0	14.0	23.0
109.0	5.0	3.0
330.0	1.0	0.0
6.0	3.0	0.0
148.0	2.0	1.0
96.0	1.0	0.0
82.0	2.0	0.0
20.0	1.0	1.0
174.0	0.0	0.0
382.0	18.0	6.0
3.0	10.0	1.0
151.0	0.0	0.0
1.0	13.0	15.0
23.0	3.0	2.0
86.0	16.0	7.0
44.0	1.0	0.0
79.0	28.0	7.0
3.0	3.0	1.0
134.0	2.0	1.0
52.0	11.0	6.0
76.0	3.0	1.0
0.0	12.0	4.0
110.0	0.0	1.0
190.0	2.0	0.0
5.0	2.0	1.0
61.0	7.0	2.0
2.0	13.0	10.0
63.0	0.0	1.0
29.0	1.0	3.0
43.0	0.0	0.0
29.0	9.0	0.0
34.0	33.0	16.0
173.0	4.0	4.0
120.0	0.0	0.0
47.0	4.0	2.0
1.0	19.0	15.0
60.0	3.0	3.0
41.0	0.0	3.0
21.0	3.0	2.0
190.0	2.0	2.0
0.0	5.0	2.0
306.0	2.0	0.0
5.0	3.0	1.0
142.0	15.0	8.0
105.0	2.0	0.0
93.0	5.0	0.0
140.0	1.0	0.0
132.0	4.0	2.0
0.0	15.0	9.0
115.0	1.0	0.0
14.0	0.0	0.0
42.0	21.0	4.0
193.0	0.0	1.0
97.0	4.0	2.0
75.0	0.0	1.0
209.0	0.0	1.0
2.0	1.0	1.0
16.0	4.0	1.0
76.0	1.0	2.0
76.0	1.0	0.0
154.0	1.0	0.0
96.0	0.0	1.0
59.0	5.0	2.0
0.0	62.0	25.0
0.0	9.0	4.0
1.0	3.0	0.0
116.0	4.0	0.0
117.0	0.0	0.0
69.0	0.0	0.0
926.0	28.0	5.0
92.0	1.0	0.0
99.0	24.0	17.0
411.0	3.0	2.0
83.0	3.0	1.0
162.0	1.0	4.0
3.0	0.0	1.0
2.0	0.0	1.0
268.0	1.0	0.0
118.0	6.0	7.0
881.0	6.0	4.0
75.0	0.0	0.0
12.0	7.0	5.0
110.0	0.0	1.0
152.0	2.0	11.0
0.0	6.0	3.0
3.0	0.0	1.0
0.0	13.0	11.0
42.0	1.0	1.0
99.0	2.0	1.0
93.0	0.0	0.0
119.0	2.0	4.0
24.0	40.0	6.0
200.0	1.0	1.0
10.0	32.0	11.0
10.0	3.0	0.0
56.0	0.0	2.0
305.0	2.0	2.0
209.0	0.0	1.0
7.0	3.0	1.0
58.0	4.0	1.0
6.0	12.0	5.0
158.0	1.0	1.0
0.0	10.0	5.0
105.0	2.0	2.0
271.0	5.0	6.0
18.0	0.0	0.0
54.0	0.0	1.0
2.0	4.0	0.0
186.0	8.0	6.0
298.0	2.0	1.0
62.0	0.0	0.0
274.0	2.0	1.0
141.0	0.0	0.0
17.0	4.0	3.0
0.0	9.0	12.0
57.0	0.0	0.0
286.0	0.0	0.0
2.0	1.0	5.0
22.0	0.0	0.0
32.0	1.0	1.0
0.0	0.0	5.0
0.0	1.0	4.0
2.0	6.0	1.0
1.0	17.0	6.0
4.0	8.0	6.0
10.0	2.0	1.0
2.0	1.0	0.0
1.0	20.0	1.0
70.0	1.0	0.0
144.0	0.0	1.0
349.0	41.0	11.0
210.0	0.0	1.0
1.0	15.0	4.0
85.0	1.0	1.0
114.0	4.0	4.0
50.0	2.0	0.0
51.0	11.0	0.0
63.0	1.0	2.0
14.0	4.0	2.0
25.0	4.0	1.0
78.0	3.0	2.0
2.0	1.0	1.0
4.0	6.0	1.0
34.0	0.0	0.0
43.0	29.0	13.0
307.0	37.0	13.0
35.0	6.0	2.0
271.0	1.0	4.0
180.0	1.0	0.0
0.0	5.0	5.0
2.0	7.0	1.0
0.0	0.0	1.0
46.0	1.0	3.0
341.0	3.0	0.0
100.0	18.0	10.0
4.0	30.0	18.0
61.0	0.0	1.0
1.0	0.0	2.0
1.0	8.0	2.0
1.0	8.0	1.0
47.0	5.0	5.0
1.0	14.0	4.0
47.0	2.0	3.0
128.0	1.0	1.0
1.0	4.0	4.0
31.0	1.0	0.0
57.0	0.0	4.0
167.0	5.0	4.0
107.0	19.0	4.0
30.0	29.0	6.0
268.0	1.0	1.0
182.0	5.0	3.0
58.0	15.0	10.0
0.0	2.0	5.0
