"YPD1"	"YPD2"	"YPD3"	"YPD4"	"YPD5"	"YPD6"	"RAPA1"	"RAPA2"	"RAPA3"	"RAPA4"	"RAPA5"	"RAPA6"
"YDL111C"	52	65	13	56	50	28	12	19	6	16	14	17
"YDL110C"	6	5	1	9	12	6	78	99	44	80	94	66
"YDL109C"	0	1	0	0	0	0	3	2	0	2	0	2
"YDL108W"	14	15	3	11	18	15	14	17	5	12	13	11
"YDL107W"	2	3	1	0	2	6	9	18	7	7	11	8
"YDL106C"	5	3	0	7	1	2	14	12	4	4	11	7
"YDL105W"	4	2	0	2	3	1	6	8	0	4	2	4
"YDL104C"	2	4	3	4	3	0	6	9	3	8	3	6
"YDL103C"	20	11	6	14	19	15	40	43	19	20	37	32
"YDL102W"	2	5	2	6	5	1	4	3	5	2	7	2
"YDL101C"	8	5	2	7	6	2	11	21	7	22	10	7
"YDL100C"	127	123	34	131	140	94	146	177	78	128	152	124
"YDL099W"	17	19	8	24	21	10	21	25	4	21	23	23
"YDL098C"	3	7	2	6	13	3	5	5	5	5	10	5
"YDL097C"	69	92	23	69	76	61	86	88	46	80	87	65
"YDL096C"	0	0	0	0	0	0	0	0	0	0	0	0
"YDL095W"	37	57	21	51	59	32	48	75	38	55	63	41
"YDL094C"	0	0	0	0	0	0	1	1	0	0	1	0
"YDL093W"	8	4	0	10	8	3	10	7	3	9	4	8
"YDL092W"	55	61	18	47	63	37	26	45	19	32	36	32
"YDL091C"	2	1	3	5	6	1	11	14	4	8	15	11
"YDL090C"	8	14	4	10	8	2	10	9	6	11	11	9
"YDL089W"	4	5	0	3	6	6	7	12	6	9	11	9
"YDL088C"	13	17	3	16	17	7	10	16	11	14	25	15
"YDL087C"	1	1	0	0	1	1	7	7	4	1	3	1
"YDL086W"	22	24	11	28	33	21	62	90	38	65	58	62
"YDL086C.A"	0	0	0	0	0	1	0	0	0	0	0	0
"YDL085C.A"	26	20	5	23	30	21	28	35	20	31	30	28
"YDL085W"	0	0	0	0	1	0	3	3	4	4	5	2
"YDL084W"	262	305	114	282	274	208	144	243	107	206	208	154
"YDL083C"	2233	2540	863	2442	2480	1767	366	431	214	351	404	309
"YDL082W"	1177	1293	421	1296	1217	946	106	156	71	118	163	126
"YDL081C"	1506	1659	577	1608	1584	1145	570	671	337	568	588	495
"YDL080C"	8	8	1	2	6	3	9	10	7	8	11	6
"YDL079C"	1	1	0	1	0	0	0	2	0	1	1	0
"YDL078C"	52	54	18	46	49	36	73	118	44	79	97	72
"YDL077C"	4	6	3	2	6	6	11	12	4	6	6	9
"YDL076C"	13	20	10	21	30	16	23	26	8	30	28	29
"YDL075W"	391	448	175	449	418	331	108	170	80	122	120	109
"snR63"	0	0	0	0	0	0	1	0	0	0	1	0
"YDL074C"	32	18	8	29	15	17	17	16	6	16	12	21
"YDL073W"	11	7	4	9	5	3	5	15	5	13	11	7
"YDL072C"	79	105	49	88	94	69	327	398	148	297	352	282
"YDL071C"	0	0	0	0	0	1	0	0	0	0	1	0
"YDL070W"	12	19	6	13	17	12	17	31	8	18	26	13
"YDL069C"	7	2	1	4	4	1	11	13	6	10	13	12
"YDL068W"	0	0	0	1	0	0	1	0	1	1	1	0
"YDL067C"	148	207	75	221	210	127	504	616	258	486	552	389
"YDL066W"	32	40	18	46	33	31	251	285	133	219	249	219
"YDL065C"	9	17	6	13	12	11	4	12	7	5	8	4
"YDL064W"	102	106	32	122	107	68	67	94	31	48	73	45
"YDL063C"	24	12	5	24	26	13	0	0	0	1	1	0
"YDL062W"	0	0	0	0	0	0	0	0	0	0	0	0
"YDL061C"	1212	1358	463	1393	1301	891	508	620	275	482	538	427
"YDL060W"	12	12	2	13	10	13	0	0	0	0	0	0
"YDL059C"	1	1	1	0	0	1	3	5	3	6	1	1
"YDL058W"	4	6	1	4	3	6	10	11	8	3	10	7
"YDL057W"	1	1	0	1	3	0	10	25	14	18	23	18
"YDL056W"	1	0	2	1	3	2	6	4	3	2	2	3
"YDL055C"	418	614	190	515	436	333	543	612	313	564	583	466
"YDL054C"	6	3	2	1	8	3	17	22	8	25	26	19
"YDL053C"	38	37	14	24	35	25	21	44	15	21	32	20
"YDL052C"	47	46	19	68	57	49	63	61	25	51	48	51
"YDL051W"	100	130	48	134	121	84	8	14	12	6	9	6
"YDL050C"	0	0	0	0	0	0	0	0	0	0	0	0
"YDL049C"	0	0	0	0	0	0	4	4	4	3	0	3
"YDL048C"	2	2	2	8	5	1	3	9	1	7	5	2
"YDL047W"	2	3	0	5	1	0	2	2	0	2	2	1
"YDL046W"	126	131	42	129	133	97	275	392	172	289	314	278
"YDL045W.A"	10	14	4	9	10	11	19	16	6	8	19	12
"YDL045C"	8	16	4	18	3	14	27	30	14	27	18	22
"YDL044C"	4	10	1	5	7	1	6	10	3	4	6	4
"YDL043C"	12	17	4	18	16	13	4	9	2	6	6	7
"YDL042C"	9	11	3	7	8	6	2	5	2	2	8	5
"YDL041W"	0	0	0	0	0	0	0	0	0	0	0	0
"YDL040C"	39	48	10	46	38	28	55	55	17	52	37	39
"YDL039C"	0	0	0	2	1	0	0	1	0	0	0	1
"YDL037C"	0	0	0	0	0	0	0	0	0	0	0	0
"YDL036C"	5	3	2	3	6	2	7	1	1	5	3	1
"YDL035C"	5	3	4	7	2	2	16	10	8	16	17	11
"YDL034W"	0	0	0	0	0	0	0	0	0	0	0	0
"YDL033C"	0	3	1	1	0	1	1	4	1	1	2	3
"YDL032W"	0	0	0	0	0	0	0	1	0	1	0	0
"YDL031W"	19	20	6	15	20	9	1	1	0	3	3	0
"YDL030W"	6	7	1	12	8	0	5	10	2	6	4	3
"YDL029W"	66	72	19	63	56	56	117	154	50	109	125	105
"YDL028C"	11	7	1	10	3	7	14	12	8	17	14	9
"YDL027C"	12	4	1	6	10	5	29	42	20	36	29	28
"YDL026W"	0	0	0	0	0	0	0	0	0	0	1	0
"YDL025C"	1	5	0	5	4	2	8	12	9	10	11	10
"YDL025W.A"	0	0	0	0	0	0	0	0	0	0	0	0
"YDL024C"	0	0	0	0	0	0	0	1	0	1	0	0
"YDL022C.A"	0	0	0	0	0	0	0	1	0	0	0	0
"YDL023C"	0	0	0	0	0	0	0	0	0	0	0	0
"YDL022W"	18	30	5	28	19	19	69	106	47	87	80	66
"YDL021W"	0	0	0	1	1	1	13	7	2	8	10	6
