"YPD1"	"YPD2"	"YPD3"	"YPD4"	"YPD5"	"YPD6"	"RAPA1"	"RAPA2"	"RAPA3"	"RAPA4"	"RAPA5"	"RAPA6"
"YMR284W"	4	4	1	3	2	1	7	17	9	6	11	10
"YMR285C"	10	12	10	17	15	4	6	5	8	9	7	8
"YMR286W"	42	44	8	35	38	31	43	48	20	48	39	39
"YMR287C"	2	3	1	1	10	1	7	10	1	12	6	12
"YMR288W"	11	5	0	8	7	9	3	7	2	2	4	5
"YMR289W"	12	21	5	16	17	10	23	13	8	20	27	17
"YMR290C"	88	80	22	78	82	61	3	3	2	5	3	5
"YMR290W.A"	0	0	0	0	0	0	0	0	0	0	0	0
"YMR291W"	2	0	0	2	5	0	7	8	5	3	4	7
"YMR292W"	87	88	34	84	95	68	77	97	35	83	102	80
"YMR293C"	1	7	0	3	0	3	12	10	3	7	11	10
"YMR294W"	1	3	1	2	4	2	3	1	2	3	2	2
"YMR294W.A"	0	0	0	0	0	0	0	0	0	1	0	0
"YMR295C"	59	69	27	64	63	37	100	118	61	104	121	111
"YMR296C"	23	13	9	18	23	17	25	18	7	22	20	22
"YMR297W"	70	69	24	75	59	49	283	349	140	269	294	197
"YMR298W"	87	88	40	88	92	56	134	183	77	157	160	119
"YMR299C"	7	18	8	8	11	7	17	18	8	16	26	10
"YMR300C"	40	44	19	71	40	37	19	27	11	20	29	18
"YMR301C"	7	9	6	9	8	4	4	6	1	3	2	2
"YMR302C"	5	6	3	4	8	5	14	16	13	14	18	11
"YMR303C"	0	1	0	0	0	0	0	0	0	0	0	0
"YMR304W"	4	1	1	1	0	3	17	27	8	19	16	19
"YMR304C.A"	30	33	15	49	33	24	32	63	22	43	29	39
"YMR305C"	6	15	4	21	5	8	17	38	9	24	11	10
"YMR306W"	0	0	0	2	0	0	2	0	1	1	1	0
"YMR306C.A"	0	0	0	0	0	0	0	0	0	0	0	1
"YMR307W"	336	389	146	356	342	276	386	600	244	427	461	417
"YMR307C.A"	0	0	0	0	0	0	0	1	0	0	0	0
"YMR308C"	54	49	21	59	54	25	10	13	8	18	10	17
"YMR309C"	36	51	16	43	57	38	9	9	5	9	11	9
"YMR310C"	29	44	8	47	38	37	0	4	1	1	1	1
"YMR311C"	24	26	7	19	23	19	31	51	25	38	45	34
"YMR312W"	22	29	9	37	18	16	8	15	1	8	10	8
"YMR313C"	10	6	7	12	14	8	19	19	7	15	21	8
"YMR314W"	127	130	38	133	127	106	141	182	75	156	172	129
"YMR315W"	21	18	17	18	20	16	161	188	110	151	175	138
"YMR315W.A"	0	0	0	0	0	0	0	0	0	0	0	0
"YMR316W"	6	8	0	7	11	5	18	14	7	15	16	14
"YMR316C.A"	0	0	0	0	0	0	0	0	0	0	0	0
"YMR316C.B"	1	2	0	2	2	0	2	3	1	2	0	1
"YMR317W"	1	1	0	0	0	0	3	4	0	4	1	3
"YMR318C"	138	126	43	134	132	97	162	230	98	158	165	140
"YMR319C"	22	32	10	32	29	22	24	30	17	20	25	14
"YMR320W"	0	0	0	0	0	0	0	0	0	1	1	0
"YMR321C"	0	0	0	0	0	0	0	0	0	0	0	0
"YMR322C"	0	0	0	0	0	0	0	0	0	0	0	0
"YMR323W"	0	0	0	0	0	0	0	0	0	0	0	0
"YMR324C"	0	0	0	0	0	0	0	0	0	0	0	0
"YMR325W"	0	0	0	1	0	0	0	0	0	0	0	0
"YMR326C"	0	0	0	0	0	0	0	0	0	0	0	0
"YBL113C"	1	1	1	2	5	2	3	4	3	6	8	7
"YBL113W.A"	0	0	0	0	0	0	0	0	0	0	0	0
"YBL112C"	0	0	0	0	0	0	0	0	0	0	0	0
"YBL111C"	0	0	0	0	0	0	0	0	0	0	0	0
"YBL109W"	0	0	0	0	0	0	1	0	0	0	0	0
"YBL108C.A"	0	0	0	0	0	0	0	0	0	0	0	0
"YBL108W"	0	0	0	0	0	0	0	0	0	0	0	0
"YBL107W.A"	0	0	0	0	0	0	0	0	0	0	0	0
"YBL107C"	23	31	8	23	29	26	34	44	34	32	36	26
"YBL106C"	1	2	0	3	2	0	8	6	0	3	2	3
"YBL105C"	6	13	4	16	10	6	22	29	9	21	21	18
"YBL104C"	3	5	4	4	6	3	11	13	3	14	14	7
"YBL103C"	1	1	0	1	0	1	1	1	0	2	2	3
"YBL102W"	37	55	23	58	61	48	111	149	61	106	96	90
"YBL101C"	2	2	2	3	8	2	18	31	14	34	21	18
"YBL100W.C"	0	0	0	0	0	0	0	0	0	0	0	0
"YBL100W.B"	0	0	0	0	0	0	0	0	0	0	0	0
"YBL100W.A"	0	0	0	0	0	0	0	0	0	0	0	0
"YBL100C"	1	0	0	0	0	0	0	0	0	0	0	0
"YBL099W"	136	159	71	150	148	108	272	318	151	281	288	244
"YBL098W"	0	0	0	0	0	0	0	2	0	0	3	0
"YBL097W"	0	3	0	1	0	1	2	0	0	0	1	2
"YBL096C"	6	2	0	3	3	2	5	4	2	2	8	3
"YBL095W"	16	8	2	13	7	7	12	16	15	19	28	13
"YBL094C"	0	0	0	0	0	0	1	0	0	0	0	0
"YBL093C"	37	47	16	41	41	33	19	34	11	28	43	25
"YBL092W"	3683	3914	1361	3980	3790	2827	1176	1428	608	1075	1240	983
"YBL091C.A"	8	5	0	6	7	4	43	44	20	27	21	20
"YBL091C"	46	43	16	57	39	48	62	77	37	53	69	45
"YBL090W"	25	24	11	23	13	14	26	31	19	20	12	13
"YBL089W"	7	7	2	10	4	8	26	29	10	23	28	19
"YBL088C"	11	10	2	10	2	7	11	23	6	12	12	15
"YBL087C"	1418	1496	505	1535	1387	1087	384	524	214	372	449	326
"YBL086C"	2	3	0	2	5	5	5	8	3	5	10	10
"YBL085W"	5	2	1	4	2	2	6	7	6	8	10	4
"YBL084C"	2	2	2	0	3	0	4	6	1	5	1	4
"YBL083C"	3	1	1	1	6	0	1	6	1	1	1	0
"YBL082C"	0	0	0	0	1	0	0	1	0	0	0	0
"YBL081W"	14	19	4	9	12	9	0	1	2	1	4	1
"YBL080C"	1	3	0	4	1	2	7	13	2	3	8	7
"YBL079W"	10	14	2	18	15	10	15	10	6	12	15	6
"YBL078C"	1	3	1	8	6	5	111	139	62	92	123	110
"YBL077W"	0	0	0	0	0	0	0	1	0	0	0	0
"YBL076C"	77	81	23	64	63	51	58	79	27	53	61	42
"YBL075C"	1	6	0	8	3	5	7	3	4	4	5	10
"YBL074C"	1	1	0	1	1	2	1	2	1	2	2	1
"YBL073W"	0	0	0	0	0	0	0	0	0	0	0	0
"snR56"	0	0	0	0	0	0	0	0	0	0	0	0
"YBL072C"	1064	1174	414	1173	1142	769	468	609	269	479	530	407
"YBL071C.B"	0	0	0	0	0	0	0	0	0	0	0	0
"YBL071W.A"	69	75	19	54	64	47	9	13	7	12	10	6
"YBL071C"	0	0	0	0	0	0	0	0	0	0	0	0
"YBL070C"	0	1	0	0	0	0	0	0	0	0	0	0
"YBL069W"	1	0	0	1	0	0	1	0	0	0	1	1
"YBL068W.A"	0	0	0	0	0	0	0	0	0	0	0	0
"YBL068W"	72	76	24	55	65	55	7	12	2	2	11	8
"YBL067C"	8	7	3	7	9	7	7	10	2	3	9	11
"YBL066C"	0	0	0	0	2	0	0	2	0	1	1	1
"YBL065W"	0	0	0	0	0	0	1	0	0	0	0	1
"YBL064C"	24	34	9	29	27	19	156	191	92	153	196	136
"YBL063W"	0	0	0	5	1	1	2	5	3	4	4	6
"YBL062W"	0	0	0	0	0	0	0	0	0	0	0	0
"YBL061C"	10	15	8	9	12	10	15	23	7	8	10	16
"YBL060W"	5	3	3	3	10	3	4	2	2	7	6	8
"YBL059C.A"	27	25	14	35	24	20	58	76	27	52	59	44
"YBL059W"	6	3	4	6	5	2	6	15	4	5	15	7
"YBL058W"	30	50	14	35	45	33	57	59	25	45	71	45
"YBL057C"	47	56	24	53	52	32	39	48	35	37	41	45
"YBL056W"	50	52	24	56	53	35	67	85	38	77	89	75
"YBL055C"	5	10	2	4	8	6	2	3	3	5	4	2
"YBL054W"	4	10	2	10	5	2	1	0	0	1	0	1
"YBL053W"	0	0	0	0	0	0	0	0	0	0	0	0
"YBL052C"	4	5	2	7	4	4	7	7	2	3	4	5
"YBL051C"	21	20	4	19	20	13	27	33	12	24	16	21
"YBL050W"	51	55	23	44	43	43	75	97	45	79	80	71
"YBL049W"	0	0	0	0	0	0	1	1	0	2	0	3
"YBL048W"	0	0	1	0	0	0	2	5	1	6	8	6
"YBL047C"	8	5	1	13	12	5	25	31	16	31	41	25
"YBL046W"	1	1	1	2	1	0	1	1	2	2	4	1
"YBL045C"	43	49	16	46	36	34	74	91	47	55	85	56
"YBL044W"	1	1	0	0	0	0	0	0	0	1	1	0
"YBL043W"	0	1	0	0	0	1	0	1	1	2	0	1
"YBL042C"	37	19	5	24	17	17	5	2	2	4	5	5
"YBL041W"	95	109	34	95	103	73	108	136	62	101	117	93
"YBL040C"	79	89	30	91	78	46	110	165	59	101	128	106
"YBL039W.B"	4	9	3	11	3	6	41	38	22	35	37	28
"YBL039C"	65	63	15	75	53	31	0	1	0	1	0	0
"YBL039C.A"	0	0	0	0	0	0	0	0	0	0	0	0
"YBL038W"	23	27	9	17	24	16	47	56	25	39	52	35
"YBL037W"	3	4	2	5	4	2	9	12	4	11	8	9
"YBL036C"	60	65	20	75	93	38	41	57	27	37	51	38
"YBL035C"	5	4	3	9	10	9	6	18	6	8	7	8
"YBL034C"	3	1	3	2	1	2	4	8	4	5	5	7
"YBL033C"	4	9	4	8	11	16	20	21	10	11	14	8
"YBL032W"	43	29	9	36	23	21	28	26	11	27	23	24
"YBL031W"	4	9	1	1	8	5	6	0	4	4	6	6
"YBL030C"	182	178	76	179	171	145	236	275	159	240	285	216
"YBL029C.A"	19	21	7	22	19	11	31	34	13	34	27	23
"YBL029W"	1	0	0	0	1	3	2	3	0	3	1	4
"YBL028C"	66	65	31	77	68	56	4	4	2	3	3	1
"YBL027W"	2492	2720	954	2727	2511	1861	558	716	345	564	680	461
"YBL026W"	43	51	21	43	48	34	35	49	19	37	41	40
"YBL025W"	12	11	2	8	10	9	11	12	8	9	17	6
"YBL024W"	40	56	18	55	56	36	10	12	6	13	11	13
"YBL023C"	10	9	5	13	9	8	20	31	13	19	26	22
"YBL022C"	18	18	7	32	22	18	44	39	20	36	36	53
"YBL021C"	16	14	3	10	8	6	4	13	10	8	14	6
"YBL020W"	17	11	3	15	7	4	4	15	3	5	9	6
"YBL019W"	3	5	1	3	2	2	1	5	5	9	6	6
"YBL018C"	26	22	12	37	29	21	21	34	12	23	35	28
"YBL017C"	12	16	7	21	10	9	26	34	10	31	28	30
"YBL016W"	0	0	0	0	0	0	0	0	0	0	0	0
"YBL015W"	7	6	2	4	5	4	26	32	15	14	28	18
"YBL014C"	3	9	4	6	4	7	3	7	1	3	5	2
"YBL013W"	0	0	0	0	0	0	1	0	0	0	0	0
"YBL012C"	0	0	0	0	0	0	0	0	0	0	0	0
"YBL011W"	15	16	6	14	15	12	17	21	12	14	24	21
"YBL010C"	10	5	2	6	2	8	10	13	6	6	5	6
"YBL009W"	13	11	2	8	5	4	2	4	3	3	0	4
"YBL008W.A"	0	0	0	0	0	0	0	0	0	0	0	0
"YBL008W"	6	3	1	3	5	3	5	11	5	5	7	7
"YBL007C"	13	15	5	24	17	14	33	37	23	38	32	35
"YBL006C"	25	31	9	31	30	23	24	33	12	32	31	28
"YBL006W.A"	0	0	0	0	0	0	0	0	0	0	0	0
"YBL005W"	1	3	0	0	1	2	9	4	0	3	7	3
"YBL005W.A"	0	0	0	0	0	0	0	0	0	0	0	0
"YBL005W.B"	2	4	0	2	1	1	3	5	2	4	9	2
"YBL004W"	13	16	8	18	20	16	0	0	0	1	3	1
"YBL003C"	524	527	219	636	495	361	744	1049	464	742	863	727
"YBL002W"	404	374	155	408	304	231	472	737	274	506	640	491
"YBL001C"	79	72	25	79	90	56	159	218	108	179	172	163
"YBR001C"	10	14	4	12	7	8	17	27	16	24	36	24
"YBR002C"	24	21	5	16	16	16	11	8	1	12	9	6
"YBR003W"	13	15	4	11	13	10	20	25	10	22	23	22
"YBR004C"	6	9	8	18	9	19	9	16	3	13	7	17
"YBR005W"	7	11	2	15	15	9	23	40	13	22	21	18
"YBR006W"	4	6	0	2	2	4	44	61	28	51	55	48
"YBR007C"	1	2	1	3	2	2	4	11	1	8	11	2
"YBR008C"	4	5	1	3	2	2	7	9	6	13	10	10
"YBR009C"	361	341	159	458	351	234	433	717	281	515	562	491
"YBR010W"	373	354	161	399	350	256	497	757	270	469	612	521
"YBR011C"	438	432	152	465	412	287	472	601	286	461	556	481
"YBR012C"	0	2	0	0	1	0	0	3	2	1	0	1
"YBR012W.A"	0	0	0	0	0	0	0	0	0	0	0	0
"YBR012W.B"	0	0	0	0	0	0	0	0	1	0	3	1
"YBR013C"	4	5	3	6	2	2	15	13	8	17	16	17
"YBR014C"	13	27	8	25	20	25	26	34	13	29	37	32
"YBR015C"	33	33	14	38	26	25	26	32	11	26	35	19
"YBR016W"	59	76	24	75	70	52	121	168	80	143	155	108
"YBR017C"	14	24	13	32	29	16	17	24	8	21	26	18
"YBR018C"	0	0	0	0	0	0	2	3	0	0	2	2
"YBR019C"	0	0	0	0	0	0	1	2	0	1	0	1
"YBR020W"	1	1	2	0	1	0	1	3	1	1	0	1
"YBR021W"	6	13	0	8	5	5	1	7	0	0	0	1
"YBR022W"	16	15	7	15	14	11	27	28	11	28	19	22
"YBR023C"	3	3	2	4	1	3	9	17	3	12	8	9
"YBR024W"	7	4	1	9	6	4	16	16	9	10	23	7
"YBR025C"	366	379	125	415	383	264	132	160	61	123	111	118
"YBR026C"	17	18	5	17	21	14	37	60	29	41	56	45
"YBR027C"	1	0	0	0	0	0	0	1	0	0	0	0
"YBR028C"	4	6	0	4	1	3	4	5	3	7	2	2
"YBR029C"	25	21	5	20	18	16	11	19	5	17	18	19
"YBR030W"	10	17	2	9	6	7	2	10	3	1	7	3
"YBR031W"	1494	1590	614	1577	1564	1125	488	590	306	483	545	438
"YBR032W"	0	0	0	1	0	0	0	0	0	0	0	0
"YBR033W"	1	0	0	0	0	0	1	2	2	1	3	1
"YBR034C"	55	64	19	65	75	47	4	10	4	18	11	11
"YBR035C"	55	64	15	51	51	42	171	211	84	154	166	143
"snR161"	0	0	0	0	0	0	0	0	0	0	0	0
"TLC1"	14	18	7	17	21	15	13	19	3	9	13	11
"YBR036C"	45	49	20	46	49	35	62	76	32	62	63	56
"YBR037C"	5	6	1	6	8	10	13	22	13	24	27	19
"YBR038W"	22	12	7	10	13	14	24	35	18	23	22	23
"YBR039W"	82	82	36	79	78	69	104	107	44	101	105	105
"YBR040W"	0	0	0	0	0	0	0	0	0	0	0	0
"YBR041W"	16	19	4	13	8	5	18	21	16	22	42	28
"YBR042C"	16	15	7	17	12	11	13	23	14	18	14	16
"YBR043C"	5	4	2	8	4	3	21	26	8	17	15	11
"YBR044C"	4	4	3	4	4	7	12	15	7	12	10	4
"YBR045C"	3	0	0	0	0	0	0	2	0	0	0	2
"YBR046C"	9	11	6	8	16	8	89	97	45	94	90	65
"YBR047W"	3	2	0	3	0	2	41	48	26	32	48	37
"YBR048W"	2167	2356	797	2410	2253	1563	652	766	386	649	793	609
"YBR049C"	7	10	3	9	15	6	12	18	5	10	8	11
"YBR050C"	0	3	1	4	2	0	3	1	2	3	3	8
"YBR051W"	0	0	0	0	0	0	0	0	0	0	0	0
"YBR052C"	49	53	16	56	64	48	191	260	115	214	223	195
"YBR053C"	14	13	8	11	17	9	102	120	66	97	98	91
"YBR054W"	0	0	0	0	0	0	0	1	0	0	0	0
"YBR055C"	11	7	4	7	10	5	11	7	3	8	9	5
"YBR056W"	13	15	4	20	7	7	49	53	23	43	45	42
"YBR056W.A"	10	6	2	11	9	2	21	34	10	18	16	17
"YBR056C.B"	0	0	0	0	0	0	0	0	0	0	0	0
"YBR057C"	10	11	8	4	8	8	4	11	4	7	14	8
"YBR058C"	2	3	0	0	0	1	3	1	1	2	1	5
"YBR058C.A"	100	91	35	83	90	61	105	140	72	123	127	101
"YBR059C"	8	6	1	9	10	11	27	32	17	28	23	15
"YBR060C"	3	8	0	9	8	2	5	6	1	3	5	1
"YBR061C"	36	24	8	26	29	13	0	10	1	4	7	5
"YBR062C"	22	16	10	23	25	20	40	62	26	43	60	31
"YBR063C"	3	2	0	2	2	4	4	5	1	4	5	0
"YBR064W"	0	0	0	0	0	0	0	0	0	0	0	0
"YBR065C"	1	3	0	1	3	2	1	2	2	4	5	2
"YBR066C"	14	8	3	12	9	12	11	11	5	8	14	6
"YBR067C"	459	382	117	482	446	309	310	489	243	311	417	320
"YBR068C"	49	51	17	56	45	35	12	26	5	9	9	13
"YBR069C"	50	48	16	53	57	36	3	8	0	7	0	7
"YBR070C"	23	25	11	18	16	15	32	39	9	14	25	25
"YBR071W"	19	20	10	21	29	4	39	61	24	40	53	46
"YBR072W"	1	0	0	0	1	0	5	10	6	7	12	14
"YBR072C.A"	0	0	0	0	0	0	0	1	0	0	0	0
"YBR073W"	1	2	1	5	2	1	5	6	2	4	1	0
"YBR074W"	14	15	5	12	16	14	13	16	7	12	12	11
"YBR076W"	0	0	0	0	0	0	0	0	0	0	0	0
"YBR076C.A"	8	8	3	15	11	7	8	25	10	25	11	21
"YBR077C"	3	2	0	2	2	1	13	13	3	7	12	13
"YBR078W"	319	356	122	334	293	226	479	514	230	431	451	398
"YBR079C"	59	64	21	70	54	52	16	19	9	12	14	25
"YBR080C"	30	26	8	21	22	20	58	63	31	54	50	41
"YBR081C"	8	9	5	17	9	5	17	16	11	11	12	14
"YBR082C"	276	304	114	300	273	235	240	277	136	234	227	208
"YBR083W"	3	3	2	2	2	3	1	5	2	3	2	2
"YBR084W"	31	30	9	30	27	19	5	8	3	8	5	3
"YBR084C.A"	1293	1465	523	1445	1459	1002	307	372	203	294	328	288
"YBR085W"	8	9	0	3	8	7	6	6	1	2	4	2
"YBR085C.A"	62	78	28	71	65	44	562	681	309	497	574	470
"YBR086C"	29	27	17	29	29	18	30	36	16	27	41	23
"YBR087W"	22	21	11	32	20	24	9	17	8	15	12	8
"YBR088C"	60	74	22	84	95	56	51	62	31	58	46	56
"YBR089W"	0	0	0	0	0	0	0	0	0	0	1	0
"YBR089C.A"	32	43	15	50	46	33	137	147	82	118	117	122
"YBR090C"	2	3	3	5	5	3	12	15	10	13	16	10
"YBR091C"	22	21	10	37	29	26	12	18	10	16	17	11
"YBR092C"	47	56	9	53	50	37	4	6	0	1	5	1
"YBR093C"	110	121	43	131	182	76	27	14	9	12	27	24
"YBR094W"	7	11	6	12	17	13	9	17	6	9	8	4
"YBR095C"	7	6	2	5	8	4	11	7	4	7	9	8
"YBR096W"	28	33	17	46	41	26	46	69	36	57	68	62
"YBR097W"	4	3	0	6	5	6	11	17	5	10	17	8
"YBR098W"	0	0	0	1	0	0	2	3	2	1	4	0
"YBR099C"	5	4	2	2	0	2	1	1	0	0	0	0
"YBR101C"	55	44	13	52	52	31	12	12	5	2	16	8
"YBR102C"	7	5	1	8	2	6	10	15	5	13	9	12
"YBR103W"	10	12	4	10	9	10	16	23	2	18	14	13
"YBR103C.A"	0	0	0	0	0	0	0	0	0	0	0	0
"YBR104W"	14	20	9	15	15	18	23	26	12	27	31	14
"YBR105C"	8	5	6	8	5	3	22	33	14	23	19	27
"YBR106W"	430	474	185	494	460	354	421	517	245	377	472	402
"YBR107C"	1	0	0	1	0	0	0	0	0	1	0	1
"YBR108W"	1	0	0	1	1	2	10	8	2	3	2	4
"YBR109C"	324	397	127	394	342	298	545	646	308	480	576	479
"YBR109W.A"	0	0	0	0	0	0	0	0	0	0	0	0
"YBR110W"	16	17	10	23	12	13	33	41	18	35	37	30
"YBR111C"	36	40	17	46	54	46	78	127	45	98	98	77
"YBR111W.A"	5	4	0	5	1	3	3	5	3	6	10	3
"YBR112C"	2	2	0	1	1	0	2	4	4	8	3	7
"YBR113W"	0	0	0	0	0	0	0	0	0	0	0	0
"YBR114W"	2	3	1	3	6	2	10	7	6	4	7	6
"YBR115C"	10	9	3	9	16	5	25	37	16	33	31	21
"YBR116C"	0	1	0	0	0	0	3	3	1	2	7	2
"YBR117C"	0	0	0	0	0	0	0	0	0	0	0	0
"YBR118W"	969	1043	367	1035	1018	760	953	1179	569	1037	1105	856
"YBR119W"	4	5	5	8	5	2	7	5	0	5	4	9
"YBR120C"	3	8	2	5	8	4	7	22	5	10	14	7
"YBR121C"	184	186	57	193	172	123	87	112	51	71	95	75
"YBR121C.A"	0	0	0	0	0	0	0	0	0	0	0	0
"YBR122C"	49	70	19	74	75	52	102	114	68	105	101	102
"YBR123C"	18	14	7	19	19	15	22	22	13	15	19	16
"YBR124W"	0	0	0	0	0	0	0	0	0	0	0	0
"YBR125C"	3	8	1	3	6	2	2	2	2	9	7	4
"YBR126C"	19	23	11	26	24	16	168	197	89	162	184	161
"YBR126W.A"	4	9	7	11	14	7	69	81	30	59	57	58
"YBR126W.B"	8	9	3	8	4	4	36	43	20	38	35	38
"YBR127C"	268	279	89	245	244	179	305	371	177	310	370	269
"YBR128C"	1	5	1	1	1	0	5	5	8	8	10	8
"YBR129C"	15	14	5	12	11	13	15	18	7	11	23	16
"YBR130C"	36	41	13	46	35	27	14	23	11	13	10	16
"YBR131W"	0	3	2	2	4	2	2	3	2	2	9	0
"YBR131C.A"	0	0	0	0	0	0	0	0	0	0	0	0
"YBR132C"	1	1	1	1	0	1	13	14	5	12	16	15
"YBR133C"	5	5	1	9	4	6	15	16	5	5	9	5
"YBR134W"	0	0	0	0	0	0	0	0	0	1	0	0
"YBR135W"	18	23	8	22	31	19	15	26	12	16	29	20
"YBR136W"	1	1	1	0	0	1	2	4	0	3	7	6
"YBR137W"	22	32	8	24	27	24	105	123	57	97	106	80
"YBR138C"	1	4	3	4	3	5	13	17	2	10	10	7
"YBR139W"	16	19	7	17	14	16	129	178	72	117	147	120
"YBR140C"	17	12	8	14	12	7	26	24	14	24	26	14
"YBR141C"	4	4	1	5	1	3	0	1	0	0	0	0
"YBR141W.A"	0	0	0	0	0	0	0	0	0	0	0	0
"YBR142W"	19	14	6	20	27	18	0	1	2	0	0	0
"YBR143C"	139	159	62	148	137	109	42	57	25	38	56	35
"YBR144C"	1	0	0	0	0	0	0	0	0	0	1	1
"YBR145W"	4	7	2	6	7	6	61	92	34	61	88	74
"YBR146W"	40	35	11	30	29	17	36	53	30	52	49	28
"YBR147W"	0	0	0	0	0	1	39	46	19	35	40	33
"YBR148W"	0	1	0	0	1	0	1	0	0	1	1	3
"YBR149W"	57	61	16	64	53	64	269	339	156	252	326	247
"YBR150C"	5	4	0	3	3	0	4	4	4	7	2	2
"YBR151W"	40	34	7	38	28	20	68	75	48	61	73	61
"YBR152W"	0	0	0	0	0	0	0	1	0	0	0	0
"YBR153W"	3	6	0	4	4	2	9	7	7	10	10	5
"YBR154C"	137	125	57	145	143	109	11	20	10	14	24	16
"YBR155W"	27	29	10	38	25	25	2	3	2	2	2	0
"YBR156C"	3	6	1	7	4	3	6	7	2	8	9	3
"YBR157C"	2	1	0	0	1	0	0	3	2	4	5	2
"YBR158W"	21	25	8	23	20	24	13	38	19	31	25	25
"YBR159W"	8	5	1	10	4	4	14	14	4	11	14	10
"YBR160W"	31	31	7	26	33	33	27	55	20	33	30	39
"YBR161W"	1	2	2	1	4	2	5	3	2	3	3	5
"YBR162C"	146	178	45	176	141	98	169	239	85	168	194	152
"YBR162W.A"	33	40	11	55	30	23	58	66	26	56	69	60
"YBR163W"	7	4	5	4	4	7	16	15	6	9	15	4
"YBR164C"	115	140	45	105	121	86	62	83	51	91	78	78
"YBR165W"	4	9	3	5	8	6	8	14	6	12	8	4
"YBR166C"	21	21	7	30	20	11	25	40	8	18	26	31
"YBR167C"	9	11	5	11	7	12	14	14	8	16	16	15
"YBR168W"	0	1	0	3	2	0	4	6	1	2	3	4
"YBR169C"	1	3	1	1	3	1	9	23	9	17	15	20
"YBR170C"	6	6	2	10	16	5	26	29	15	36	33	34
"YBR171W"	86	116	53	124	107	84	83	80	40	59	72	77
"YBR172C"	27	31	16	27	30	17	14	7	3	7	8	6
"YBR173C"	68	95	30	101	103	61	112	153	53	119	126	99
"YBR174C"	0	0	0	0	0	1	0	0	0	0	0	1
"YBR175W"	16	18	8	10	13	10	16	21	9	20	12	12
"YBR176W"	7	9	3	6	8	5	4	7	1	2	5	5
"YBR177C"	19	34	11	38	26	18	93	114	28	78	102	96
"YBR178W"	0	0	0	0	0	0	0	2	0	1	1	2
"YBR179C"	4	3	3	6	8	5	15	7	1	14	9	9
"YBR180W"	1	0	0	0	0	0	1	2	0	1	1	0
"YBR181C"	945	1034	337	1043	988	660	257	323	132	263	256	261
"YBR182C"	1	1	1	0	0	0	0	0	0	1	0	1
"YBR182C.A"	0	0	0	0	0	0	0	0	0	0	0	0
"YBR183W"	2	4	1	3	3	0	15	21	5	11	21	12
"YBR184W"	0	0	0	2	1	0	0	0	0	1	1	0
"YBR185C"	9	10	5	11	8	3	12	9	8	16	16	12
"YBR186W"	0	0	0	0	0	0	0	1	0	0	0	0
"YBR187W"	91	104	38	121	94	49	43	64	25	47	73	43
"YBR188C"	10	8	5	12	10	6	6	20	10	16	10	15
"YBR189W"	2867	3204	1023	3183	3016	2167	497	589	329	501	531	440
"YBR190W"	0	0	0	0	0	0	1	0	0	1	0	0
"YBR191W"	1272	1295	475	1335	1303	919	411	498	257	432	474	368
"YBR191W.A"	0	0	0	0	0	0	0	0	0	0	0	0
"YBR192W"	6	11	5	10	7	5	4	13	3	9	5	4
"YBR193C"	2	0	0	1	0	0	5	6	0	2	3	4
"YBR194W"	2	6	1	6	1	3	9	5	3	8	5	5
"YBR195C"	3	10	0	8	10	4	8	10	5	5	6	6
"YBR196C"	399	370	122	402	373	316	359	450	181	329	353	300
"YBR196C.A"	0	0	1	1	0	0	0	0	0	0	0	0
"YBR196C.B"	0	0	0	0	0	0	0	0	0	0	0	0
"YBR197C"	0	0	0	0	0	0	0	0	0	0	0	0
"YBR198C"	20	16	9	16	15	8	20	13	11	9	12	17
"YBR199W"	38	37	18	46	49	32	62	76	31	51	71	55
"YBR200W"	8	7	1	8	10	9	12	19	10	12	22	9
"YBR200W.A"	0	0	0	0	0	0	0	0	0	0	0	0
"YBR201W"	11	13	8	13	17	6	13	7	6	11	13	10
"YBR201C.A"	2	1	0	1	0	0	4	2	1	5	1	1
"YBR202W"	5	11	2	12	12	9	17	24	11	12	17	15
"YBR203W"	1	0	0	0	0	0	6	3	2	5	6	6
"YBR204C"	6	7	4	4	1	5	15	17	14	19	19	16
"YBR205W"	5	1	1	2	3	5	6	8	4	7	10	7
"YBR206W"	18	24	4	23	19	12	22	22	7	15	13	14
"YBR207W"	24	28	10	18	19	19	22	28	15	24	22	20
"YBR208C"	5	4	0	5	5	2	331	454	197	318	385	333
"YBR209W"	0	0	0	0	0	0	0	0	0	0	0	0
"YBR210W"	2	3	0	2	4	2	4	6	5	5	9	8
"YBR211C"	0	0	0	0	0	0	1	2	1	2	1	0
"YBR212W"	11	11	2	11	13	4	28	42	13	35	23	23
"YBR213W"	7	3	2	1	2	4	4	6	1	6	2	3
"YBR214W"	3	5	3	3	2	1	44	45	17	31	41	26
"YBR215W"	3	6	2	6	3	3	10	8	8	8	15	8
"YBR216C"	9	6	4	12	6	5	6	14	8	20	17	13
"YBR217W"	0	0	0	0	0	1	5	2	1	1	5	1
"YBR218C"	32	26	8	35	17	13	57	68	25	47	54	35
"YBR219C"	0	0	0	0	0	0	0	0	0	0	0	0
"YBR220C"	0	0	0	2	1	0	4	3	1	1	4	0
"YBR221C"	132	129	58	117	139	95	193	202	88	158	193	179
"YBR221W.A"	0	0	0	0	0	0	0	0	0	0	0	0
