Fabp7	Sox11	Cd24a
1.0	3.0	4.0
0.0	4.0	0.0
1.0	3.0	1.0
0.0	10.0	5.0
1.0	29.0	4.0
13.0	7.0	7.0
0.0	4.0	1.0
0.0	4.0	2.0
1.0	8.0	1.0
0.0	6.0	14.0
0.0	7.0	7.0
0.0	8.0	6.0
0.0	10.0	3.0
0.0	3.0	1.0
0.0	7.0	0.0
99.0	24.0	17.0
0.0	5.0	1.0
1.0	9.0	3.0
0.0	13.0	3.0
0.0	2.0	3.0
0.0	4.0	0.0
2.0	3.0	3.0
3.0	9.0	9.0
7.0	10.0	5.0
1.0	3.0	4.0
2.0	39.0	15.0
0.0	1.0	4.0
0.0	10.0	5.0
1.0	9.0	1.0
0.0	2.0	2.0
1.0	19.0	9.0
1.0	16.0	8.0
0.0	1.0	4.0
2.0	6.0	7.0
0.0	34.0	23.0
2.0	1.0	0.0
0.0	2.0	4.0
0.0	3.0	0.0
0.0	6.0	3.0
0.0	1.0	2.0
0.0	11.0	6.0
1.0	1.0	2.0
0.0	4.0	5.0
1.0	14.0	3.0
0.0	8.0	4.0
0.0	6.0	2.0
0.0	5.0	5.0
2.0	12.0	6.0
1.0	25.0	4.0
3.0	5.0	3.0
0.0	7.0	4.0
0.0	4.0	0.0
0.0	5.0	3.0
47.0	5.0	5.0
1.0	7.0	1.0
2.0	4.0	0.0
0.0	22.0	14.0
0.0	5.0	2.0
2.0	5.0	3.0
0.0	3.0	2.0
3.0	17.0	5.0
0.0	7.0	3.0
0.0	1.0	1.0
0.0	7.0	4.0
1.0	4.0	1.0
0.0	3.0	5.0
0.0	2.0	2.0
1.0	4.0	2.0
2.0	22.0	15.0
1.0	4.0	5.0
0.0	5.0	4.0
6.0	1.0	4.0
0.0	6.0	4.0
2.0	28.0	13.0
2.0	0.0	3.0
0.0	6.0	5.0
0.0	5.0	3.0
0.0	5.0	6.0
0.0	15.0	4.0
1.0	3.0	6.0
0.0	0.0	2.0
2.0	21.0	14.0
1.0	4.0	4.0
0.0	15.0	6.0
0.0	25.0	7.0
0.0	3.0	3.0
0.0	9.0	11.0
1.0	4.0	1.0
0.0	3.0	4.0
1.0	3.0	3.0
2.0	18.0	16.0
1.0	6.0	4.0
1.0	3.0	2.0
0.0	6.0	4.0
0.0	3.0	5.0
0.0	8.0	8.0
1.0	8.0	5.0
1.0	5.0	3.0
0.0	20.0	11.0
0.0	3.0	2.0
1.0	7.0	5.0
1.0	7.0	1.0
0.0	9.0	0.0
0.0	11.0	1.0
0.0	17.0	8.0
0.0	10.0	5.0
2.0	2.0	1.0
0.0	3.0	4.0
0.0	8.0	3.0
0.0	3.0	1.0
4.0	8.0	2.0
1.0	7.0	2.0
1.0	8.0	3.0
0.0	17.0	2.0
0.0	1.0	7.0
0.0	4.0	3.0
0.0	4.0	1.0
0.0	1.0	2.0
0.0	12.0	3.0
0.0	6.0	1.0
1.0	9.0	6.0
3.0	8.0	11.0
0.0	4.0	1.0
0.0	6.0	4.0
2.0	5.0	1.0
1.0	2.0	3.0
113.0	21.0	6.0
0.0	8.0	1.0
0.0	5.0	1.0
2.0	2.0	0.0
0.0	12.0	7.0
2.0	59.0	14.0
1.0	3.0	2.0
1.0	9.0	2.0
1.0	4.0	0.0
1.0	11.0	2.0
4.0	10.0	0.0
0.0	3.0	1.0
0.0	10.0	1.0
0.0	4.0	2.0
1.0	22.0	6.0
0.0	9.0	1.0
0.0	2.0	2.0
1.0	7.0	1.0
0.0	35.0	16.0
0.0	2.0	1.0
0.0	3.0	3.0
0.0	3.0	5.0
1.0	1.0	11.0
0.0	6.0	0.0
0.0	4.0	2.0
0.0	11.0	11.0
0.0	19.0	7.0
0.0	1.0	5.0
0.0	3.0	4.0
3.0	3.0	1.0
1.0	5.0	3.0
0.0	6.0	1.0
8.0	11.0	4.0
1.0	8.0	1.0
0.0	1.0	4.0
3.0	13.0	18.0
2.0	14.0	6.0
0.0	6.0	4.0
1.0	6.0	4.0
2.0	7.0	3.0
0.0	3.0	1.0
0.0	22.0	9.0
0.0	5.0	4.0
0.0	16.0	7.0
1.0	18.0	14.0
2.0	18.0	8.0
2.0	3.0	2.0
0.0	4.0	3.0
0.0	0.0	7.0
1.0	5.0	0.0
3.0	20.0	13.0
2.0	5.0	6.0
0.0	7.0	7.0
0.0	4.0	1.0
0.0	3.0	2.0
0.0	2.0	2.0
0.0	7.0	4.0
0.0	10.0	1.0
1.0	9.0	4.0
1.0	8.0	3.0
0.0	2.0	3.0
0.0	1.0	1.0
0.0	3.0	3.0
0.0	10.0	6.0
59.0	0.0	2.0
0.0	1.0	1.0
0.0	0.0	2.0
0.0	2.0	4.0
0.0	8.0	0.0
2.0	6.0	1.0
0.0	6.0	2.0
0.0	6.0	4.0
6.0	21.0	7.0
2.0	3.0	1.0
0.0	3.0	0.0
0.0	3.0	4.0
0.0	35.0	9.0
1.0	5.0	7.0
1.0	6.0	4.0
1.0	13.0	6.0
0.0	10.0	4.0
2.0	9.0	13.0
1.0	5.0	1.0
0.0	40.0	10.0
0.0	2.0	4.0
1.0	6.0	5.0
0.0	8.0	2.0
1.0	17.0	17.0
7.0	44.0	15.0
0.0	1.0	3.0
0.0	6.0	7.0
0.0	2.0	4.0
0.0	9.0	2.0
0.0	23.0	5.0
0.0	6.0	0.0
0.0	6.0	4.0
0.0	4.0	3.0
1.0	7.0	8.0
0.0	1.0	2.0
0.0	6.0	2.0
78.0	1.0	1.0
0.0	2.0	3.0
0.0	8.0	3.0
4.0	14.0	4.0
0.0	10.0	7.0
0.0	6.0	3.0
3.0	2.0	5.0
0.0	25.0	10.0
0.0	6.0	2.0
3.0	1.0	1.0
0.0	4.0	2.0
2.0	16.0	11.0
4.0	43.0	14.0
0.0	16.0	7.0
0.0	23.0	8.0
0.0	4.0	2.0
0.0	5.0	0.0
0.0	8.0	1.0
1.0	8.0	10.0
1.0	13.0	6.0
0.0	3.0	1.0
1.0	10.0	10.0
0.0	0.0	1.0
1.0	5.0	5.0
0.0	12.0	0.0
0.0	2.0	5.0
0.0	2.0	3.0
1.0	14.0	6.0
0.0	6.0	0.0
0.0	7.0	3.0
2.0	17.0	2.0
1.0	9.0	3.0
1.0	5.0	3.0
0.0	10.0	7.0
0.0	25.0	10.0
0.0	2.0	3.0
20.0	0.0	0.0
1.0	47.0	17.0
1.0	19.0	17.0
2.0	35.0	9.0
0.0	5.0	3.0
0.0	5.0	5.0
0.0	6.0	4.0
1.0	24.0	7.0
2.0	4.0	3.0
2.0	0.0	2.0
0.0	1.0	4.0
0.0	5.0	1.0
1.0	2.0	2.0
0.0	3.0	1.0
0.0	8.0	5.0
0.0	8.0	2.0
1.0	4.0	1.0
0.0	4.0	2.0
2.0	6.0	1.0
0.0	5.0	0.0
2.0	2.0	2.0
