"YLR044C"	"YHR174W"	"YPR035W"
"255_YPDRapa"	34	37	6
"256_YPDRapa"	24	18	3
"257_YPDRapa"	26	10	2
"258_YPDRapa"	44	43	2
"259_YPDRapa"	11	22	3
"260_YPDRapa"	34	47	6
"261_YPDRapa"	13	25	9
"262_YPDRapa"	73	95	11
"263_YPDRapa"	30	40	4
"264_YPDRapa"	25	25	3
"265_YPDRapa"	46	69	8
"266_YPDRapa"	23	48	3
"267_YPDRapa"	5	7	5
"268_YPDRapa"	11	14	8
"269_YPDRapa"	17	32	6
"270_YPDRapa"	18	29	7
"271_YPDRapa"	65	76	21
"272_YPDRapa"	40	21	0
"273_YPDRapa"	10	15	5
"274_YPDRapa"	10	16	1
"275_YPDRapa"	26	36	6
"276_YPDRapa"	27	32	1
"277_YPDRapa"	16	15	11
"278_YPDRapa"	52	90	20
"279_YPDRapa"	63	57	14
"280_YPDRapa"	42	48	8
"281_YPDRapa"	16	34	2
"282_YPDRapa"	72	68	11
"283_YPDRapa"	29	27	1
"284_YPDRapa"	46	48	12
"285_YPDRapa"	15	16	3
"286_YPDRapa"	15	12	3
"287_YPDRapa"	24	11	1
"288_YPDRapa"	15	26	6
"289_YPDRapa"	42	38	11
"290_YPDRapa"	25	22	3
"291_YPDRapa"	24	18	5
"292_YPDRapa"	51	65	12
"293_YPDRapa"	20	15	3
"294_YPDRapa"	45	79	26
"295_YPDRapa"	69	101	19
"296_YPDRapa"	46	68	8
"297_YPDRapa"	61	41	2
"298_YPDRapa"	75	64	10
"299_YPDRapa"	20	29	5
"300_YPDRapa"	59	45	10
"301_YPDRapa"	12	22	6
"302_YPDRapa"	30	71	17
"303_YPDRapa"	4	11	5
"304_YPDRapa"	49	64	20
"305_YPDRapa"	26	24	2
"306_YPDRapa"	27	34	12
"307_YPDRapa"	46	31	8
"308_YPDRapa"	50	29	5
"309_YPDRapa"	55	45	6
"310_YPDRapa"	27	32	8
"311_YPDRapa"	79	86	13
"312_YPDRapa"	20	38	10
"313_YPDRapa"	36	45	6
"314_YPDRapa"	22	33	3
"315_YPDRapa"	26	49	10
"316_YPDRapa"	46	48	5
"317_YPDRapa"	43	40	8
"318_YPDRapa"	8	10	1
"319_YPDRapa"	23	43	5
"320_YPDRapa"	24	31	5
"321_YPDRapa"	85	97	13
"322_YPDRapa"	19	38	4
"323_YPDRapa"	56	84	13
"324_YPDRapa"	36	36	4
"325_YPDRapa"	96	85	7
"326_YPDRapa"	32	18	6
"327_YPDRapa"	79	76	10
"328_YPDRapa"	50	29	4
"329_YPDRapa"	28	30	1
"330_YPDRapa"	28	34	3
"331_YPDRapa"	16	30	4
"332_YPDRapa"	22	35	9
"333_YPDRapa"	20	19	7
"334_YPDRapa"	19	21	1
"335_YPDRapa"	52	74	15
"336_YPDRapa"	31	39	3
"337_YPDRapa"	44	56	14
"338_YPDRapa"	31	23	3
"339_YPDRapa"	17	21	7
"340_YPDRapa"	26	40	3
"341_YPDRapa"	12	20	10
"342_YPDRapa"	90	66	7
"343_YPDRapa"	19	14	6
"344_YPDRapa"	22	45	4
"345_YPDRapa"	39	53	9
"346_YPDRapa"	32	34	5
"347_YPDRapa"	13	19	3
"348_YPDRapa"	35	41	14
"349_YPDRapa"	16	25	4
"350_YPDRapa"	23	35	2
"351_YPDRapa"	51	52	11
"352_YPDRapa"	77	97	29
"353_YPDRapa"	53	56	16
"354_YPDRapa"	46	73	22
"355_YPDRapa"	38	44	7
"356_YPDRapa"	6	7	1
"357_YPDRapa"	35	41	19
"358_YPDRapa"	20	14	3
"359_YPDRapa"	51	66	16
"360_YPDRapa"	35	52	6
"361_YPDRapa"	13	17	2
"362_YPDRapa"	45	74	19
"363_YPDRapa"	18	13	2
"364_YPDRapa"	22	13	3
"365_YPDRapa"	22	28	11
"366_YPDRapa"	90	90	24
"367_YPDRapa"	42	50	7
"368_YPDRapa"	23	18	9
"369_YPDRapa"	14	32	8
"370_YPDRapa"	25	32	7
"371_YPDRapa"	50	54	9
"372_YPDRapa"	32	30	5
"373_YPDRapa"	28	24	5
"374_YPDRapa"	22	25	8
"375_YPDRapa"	49	83	17
"376_YPDRapa"	56	44	3
"377_YPDRapa"	33	63	20
"378_YPDRapa"	29	33	4
"379_YPDRapa"	40	26	1
"380_YPDRapa"	15	13	0
"381_YPDRapa"	51	54	6
"382_YPDRapa"	18	14	3
"383_YPDRapa"	13	23	6
"384_YPDRapa"	77	105	26
"385_YPDRapa"	38	30	9
"386_YPDRapa"	28	41	14
"387_YPDRapa"	68	54	3
"388_YPDRapa"	57	70	15
"389_YPDRapa"	14	22	6
"390_YPDRapa"	41	32	7
"391_YPDRapa"	31	19	2
"392_YPDRapa"	28	44	15
"393_YPDRapa"	39	28	4
"394_YPDRapa"	43	60	17
"395_YPDRapa"	43	30	1
